timestamp,open,high,low,close,volume
1700000000000,480.0,480.36,479.3,480.36,396
1700000060000,480.36,481.46,479.27,481.46,1445
1700000120000,481.46,482.04,480.95,481.12,678
1700000180000,481.12,483.94,480.09,480.78,653
1700000240000,480.78,481.12,479.8,480.05,966
1700000300000,480.05,480.73,479.03,479.03,1077
1700000360000,479.03,479.15,477.79,478.64,223
1700000420000,478.64,479.29,477.62,478.91,285
1700000480000,478.91,480.91,478.48,478.48,165
1700000540000,478.48,478.73,477.72,477.72,1358
1700000600000,477.72,479.83,476.29,477.87,1942
1700000660000,477.87,478.1,476.92,478.01,1851
1700000720000,478.01,478.33,476.42,477.93,1674
1700000780000,477.93,479.38,476.98,477.41,1131
1700000840000,477.41,477.83,476.68,477.64,110
1700000900000,477.64,478.27,476.69,478.08,1485
1700000960000,478.08,478.41,477.48,477.48,728
1700001020000,477.48,478.18,477.04,478.18,717
1700001080000,478.18,479.64,478.1,478.76,327
1700001140000,478.76,479.81,477.9,479.48,1166
1700001200000,479.48,481.17,476.66,479.46,148
1700001260000,479.46,480.99,478.33,480.05,1066
1700001320000,480.05,480.43,478.45,479.89,534
1700001380000,479.89,480.12,479.43,479.52,406
1700001440000,479.52,480.17,478.94,480.17,1795
1700001500000,480.17,481.66,479.99,480.54,1802
1700001560000,480.54,480.9,480.04,480.04,1654
1700001620000,480.04,482.91,478.98,478.98,522
1700001680000,478.98,479.85,478.74,478.74,1085
1700001740000,478.74,479.75,477.23,479.03,1946
1700001800000,479.03,479.06,477.65,477.65,197
1700001860000,477.65,479.41,477.37,479.41,555
1700001920000,479.41,480.68,478.18,479.39,551
1700001980000,479.39,480.25,477.9,479.93,1301
1700002040000,479.93,482.3,478.86,480.35,177
1700002100000,480.35,482.2,479.41,479.94,131
1700002160000,479.94,480.02,478.8,478.83,1412
1700002220000,478.83,479.5,478.66,479.17,361
1700002280000,479.17,479.52,478.29,478.61,1652
1700002340000,478.61,480.07,475.87,477.72,559
1700002400000,477.72,478.56,476.39,477.91,1479
1700002460000,477.91,478.57,476.6,476.96,259
1700002520000,476.96,477.73,474.96,477.17,1338
1700002580000,477.17,477.96,476.15,477.51,550
1700002640000,477.51,478.39,476.48,478.34,1349
1700002700000,478.34,479.27,478.18,478.64,798
1700002760000,478.64,479.52,478.0,478.0,1794
1700002820000,478.0,479.3,477.42,478.24,1055
1700002880000,478.24,481.17,477.57,478.05,633
1700002940000,478.05,478.1,477.44,477.44,436
1700003000000,477.44,478.2,476.93,477.28,1930
1700003060000,477.28,477.76,476.44,477.23,831
1700003120000,477.23,478.15,476.91,476.91,1878
1700003180000,476.91,477.58,475.01,476.01,284
